Text,Size,Color,Angle,Font,Repeat,URL
dog,98487,Random,Random,Random,No,
cat,60516,Random,Random,Random,No,
use,59394,Random,Random,Random,No,
one,55315,Random,Random,Random,No,
product,42423,Random,Random,Random,No,
work,42329,Random,Random,Random,No,
out,41357,Random,Random,Random,No,
love,40135,Random,Random,Random,No,
up,38823,Random,Random,Random,No,
very,37770,Random,Random,Random,No,
food,32829,Random,Random,Random,No,
time,29027,Random,Random,Random,No,
good,28646,Random,Random,Random,No,
great,27695,Random,Random,Random,No,
toy,27192,Random,Random,Random,No,
well,25966,Random,Random,Random,No,
more,25693,Random,Random,Random,No,
water,22162,Random,Random,Random,No,
even,21447,Random,Random,Random,No,
much,21035,Random,Random,Random,No,
small,20596,Random,Random,Random,No,
buy,20592,Random,Random,Random,No,
really,20456,Random,Random,Random,No,
go,20417,Random,Random,Random,No,
day,19666,Random,Random,Random,No,
make,19287,Random,Random,Random,No,
seem,18771,Random,Random,Random,No,
littl,18659,Random,Random,Random,No,
size,18542,Random,Random,Random,No,
now,18015,Random,Random,Random,No,
two,17768,Random,Random,Random,No,
bought,17286,Random,Random,Random,No,
put,17094,Random,Random,Random,No,
eat,16845,Random,Random,Random,No,
over,16720,Random,Random,Random,No,
last,16506,Random,Random,Random,No,
back,16455,Random,Random,Random,No,
treat,16333,Random,Random,Random,No,
look,16247,Random,Random,Random,No,
keep,16134,Random,Random,Random,No,
still,16094,Random,Random,Random,No,
tank,15994,Random,Random,Random,No,
year,15675,Random,Random,Random,No,
need,15573,Random,Random,Random,No,
month,15192,Random,Random,Random,No,
litter,15140,Random,Random,Random,No,
chew,15079,Random,Random,Random,No,
first,14901,Random,Random,Random,No,
thing,14873,Random,Random,Random,No,
box,14850,Random,Random,Random,No,
made,14663,Random,Random,Random,No,
purchase,14579,Random,Random,Random,No,
give,14032,Random,Random,Random,No,
better,13618,Random,Random,Random,No,
recommend,13407,Random,Random,Random,No,
gets,13247,Random,Random,Random,No,
try,13195,Random,Random,Random,No,
clean,13098,Random,Random,Random,No,
price,13070,Random,Random,Random,No,
think,12881,Random,Random,Random,No,
way,12795,Random,Random,Random,No,
ball,12703,Random,Random,Random,No,
week,12694,Random,Random,Random,No,
filter,12606,Random,Random,Random,No,
around,12586,Random,Random,Random,No,
old,12442,Random,Random,Random,No,
pet,12370,Random,Random,Random,No,
again,12295,Random,Random,Random,No,
order,12156,Random,Random,Random,No,
fish,12110,Random,Random,Random,No,
puppy,12041,Random,Random,Random,No,
fit,12035,Random,Random,Random,No,
smell,11996,Random,Random,Random,No,
few,11353,Random,Random,Random,No,
larg,11197,Random,Random,Random,No,
take,11050,Random,Random,Random,No,
want,10987,Random,Random,Random,No,
bag,10861,Random,Random,Random,No,
problem,10818,Random,Random,Random,No,
tri,10805,Random,Random,Random,No,
long,10768,Random,Random,Random,No,
come,10740,Random,Random,Random,No,
play,10691,Random,Random,Random,No,
befor,10665,Random,Random,Random,No,
review,10580,Random,Random,Random,No,
know,10442,Random,Random,Random,No,
help,10376,Random,Random,Random,No,
sure,10237,Random,Random,Random,No,
big,10211,Random,Random,Random,No,
never,10141,Random,Random,Random,No,
down,10115,Random,Random,Random,No,
easy,10047,Random,Random,Random,No,
quality,9962,Random,Random,Random,No,
start,9921,Random,Random,Random,No,
see,9850,Random,Random,Random,No,
enough,9766,Random,Random,Random,No,
return,9561,Random,Random,Random,No,
differ,9539,Random,Random,Random,No,
amazon,9482,Random,Random,Random,No,
money,9449,Random,Random,Random,No,
piec,9444,Random,Random,Random,No,
new,9421,Random,Random,Random,No,
plastic,9392,Random,Random,Random,No,
hard,9272,Random,Random,Random,No,
away,9247,Random,Random,Random,No,
lot,9172,Random,Random,Random,No,
bit,9084,Random,Random,Random,No,
anothe,8949,Random,Random,Random,No,
lb,8934,Random,Random,Random,No,
right,8929,Random,Random,Random,No,
chang,8925,Random,Random,Random,No,
collar,8913,Random,Random,Random,No,
same,8840,Random,Random,Random,No,
brand,8797,Random,Random,Random,No,
minute,8558,Random,Random,Random,No,
end,8526,Random,Random,Random,No,
through,8512,Random,Random,Random,No,
star,8453,Random,Random,Random,No,
somethe,8407,Random,Random,Random,No,
though,8381,Random,Random,Random,No,
likes,8355,Random,Random,Random,No,
open,8294,Random,Random,Random,No,
nice,8159,Random,Random,Random,No,
find,8143,Random,Random,Random,No,
thought,7927,Random,Random,Random,No,
top,7902,Random,Random,Random,No,
both,7871,Random,Random,Random,No,
less,7862,Random,Random,Random,No,
replace,7764,Random,Random,Random,No,
side,7308,Random,Random,Random,No,
wast,7300,Random,Random,Random,No,
door,7196,Random,Random,Random,No,
hold,7128,Random,Random,Random,No,
pull,7112,Random,Random,Random,No,
best,7011,Random,Random,Random,No,
store,7000,Random,Random,Random,No,
pretty,6996,Random,Random,Random,No,
bad,6990,Random,Random,Random,No,
mix,6968,Random,Random,Random,No,
once,6856,Random,Random,Random,No,
actual,6823,Random,Random,Random,No,
issue,6698,Random,Random,Random,No,
stuff,6638,Random,Random,Random,No,
item,6613,Random,Random,Random,No,
feed,6533,Random,Random,Random,No,
run,6510,Random,Random,Random,No,
hour,6485,Random,Random,Random,No,
stop,6458,Random,Random,Random,No,
far,6402,Random,Random,Random,No,
part,6398,Random,Random,Random,No,
found,6395,Random,Random,Random,No,
walk,6376,Random,Random,Random,No,
bed,6361,Random,Random,Random,No,
came,6304,Random,Random,Random,No,
place,6289,Random,Random,Random,No,
being,6247,Random,Random,Random,No,
many,6186,Random,Random,Random,No,
without,6156,Random,Random,Random,No,
alway,6152,Random,Random,Random,No,
took,6120,Random,Random,Random,No,
disappoint,6112,Random,Random,Random,No,
pad,6108,Random,Random,Random,No,
har,6090,Random,Random,Random,No,
happy,6034,Random,Random,Random,No,
anything,5967,Random,Random,Random,No,
vet,5963,Random,Random,Random,No,
smaller,5938,Random,Random,Random,No,
house,5933,Random,Random,Random,No,
apart,5904,Random,Random,Random,No,
fine,5860,Random,Random,Random,No,
flea,5845,Random,Random,Random,No,
inside,5805,Random,Random,Random,No,
easily,5792,Random,Random,Random,No,
read,5665,Random,Random,Random,No,
haved,5648,Random,Random,Random,No,
hope,5569,Random,Random,Random,No,
gave,5566,Random,Random,Random,No,
mayb,5559,Random,Random,Random,No,
bowl,5546,Random,Random,Random,No,
within,5520,Random,Random,Random,No,
bottom,5488,Random,Random,Random,No,
sever,5482,Random,Random,Random,No,
cage,5481,Random,Random,Random,No,
second,5408,Random,Random,Random,No,
remove,5372,Random,Random,Random,No,
feel,5303,Random,Random,Random,No,
went,5270,Random,Random,Random,No,
turn,5258,Random,Random,Random,No,
longer,5247,Random,Random,Random,No,
wish,5210,Random,Random,Random,No,
worth,5159,Random,Random,Random,No,
color,5149,Random,Random,Random,No,
stay,5129,Random,Random,Random,No,
expect,5114,Random,Random,Random,No,
test,5072,Random,Random,Random,No,
nothe,5033,Random,Random,Random,No,
set,5024,Random,Random,Random,No,
three,5005,Random,Random,Random,No,
ingredient,4973,Random,Random,Random,No,
notice,4955,Random,Random,Random,No,
until,4888,Random,Random,Random,No,
reason,4861,Random,Random,Random,No,
dry,4821,Random,Random,Random,No,
gallon,4813,Random,Random,Random,No,
floor,4809,Random,Random,Random,No,
high,4806,Random,Random,Random,No,
couple,4802,Random,Random,Random,No,
teeth,4785,Random,Random,Random,No,
aquarium,4734,Random,Random,Random,No,
definite,4680,Random,Random,Random,No,
receive,4676,Random,Random,Random,No,
cut,4674,Random,Random,Random,No,
each,4660,Random,Random,Random,No,
package,4655,Random,Random,Random,No,
perfect,4651,Random,Random,Random,No,
leave,4620,Random,Random,Random,No,
throw,4603,Random,Random,Random,No,
care,4599,Random,Random,Random,No,
bottle,4596,Random,Random,Random,No,
pound,4592,Random,Random,Random,No,
quit,4552,Random,Random,Random,No,
expense,4548,Random,Random,Random,No,
train,4534,Random,Random,Random,No,
scratch,4502,Random,Random,Random,No,
probably,4482,Random,Random,Random,No,
cover,4462,Random,Random,Random,No,
larger,4457,Random,Random,Random,No,
complete,4440,Random,Random,Random,No,
hole,4431,Random,Random,Random,No,
half,4422,Random,Random,Random,No,
stick,4412,Random,Random,Random,No,
bone,4404,Random,Random,Random,No,
break,4400,Random,Random,Random,No,
cheap,4360,Random,Random,Random,No,
head,4343,Random,Random,Random,No,
under,4336,Random,Random,Random,No,
brush,4322,Random,Random,Random,No,
link,4303,Random,Random,Random,No,
hand,4302,Random,Random,Random,No,
move,4278,Random,Random,Random,No,
instead,4257,Random,Random,Random,No,
design,4255,Random,Random,Random,No,
normal,4241,Random,Random,Random,No,
contain,4169,Random,Random,Random,No,
quickly,4155,Random,Random,Random,No,
hate,4146,Random,Random,Random,No,
together,4134,Random,Random,Random,No,
pup,4122,Random,Random,Random,No,
kitten,4116,Random,Random,Random,No,
destroy,4114,Random,Random,Random,No,
interest,4089,Random,Random,Random,No,
soft,4061,Random,Random,Random,No,
hair,4060,Random,Random,Random,No,
here,3908,Random,Random,Random,No,
strong,3899,Random,Random,Random,No,
lab,3882,Random,Random,Random,No,
company,3875,Random,Random,Random,No,
medium,3866,Random,Random,Random,No,
kitty,3842,Random,Random,Random,No,
enjoy,3831,Random,Random,Random,No,
chewer,3815,Random,Random,Random,No,
bird,3808,Random,Random,Random,No,
light,3801,Random,Random,Random,No,
flavor,3799,Random,Random,Random,No,
close,3794,Random,Random,Random,No,
those,3789,Random,Random,Random,No,
crate,3788,Random,Random,Random,No,
outside,3772,Random,Random,Random,No,
fall,3747,Random,Random,Random,No,
decide,3735,Random,Random,Random,No,
kong,3719,Random,Random,Random,No,
animal,3694,Random,Random,Random,No,
next,3688,Random,Random,Random,No,
arrive,3671,Random,Random,Random,No,
ship,3671,Random,Random,Random,No,
spray,3648,Random,Random,Random,No,
material,3637,Random,Random,Random,No,
home,3634,Random,Random,Random,No,
chicken,3633,Random,Random,Random,No,
room,3616,Random,Random,Random,No,
type,3612,Random,Random,Random,No,
save,3607,Random,Random,Random,No,
free,3606,Random,Random,Random,No,
dog',3606,Random,Random,Random,No,
broke,3573,Random,Random,Random,No,
live,3563,Random,Random,Random,No,
usual,3563,Random,Random,Random,No,
job,3550,Random,Random,Random,No,
switch,3545,Random,Random,Random,No,
kind,3544,Random,Random,Random,No,
unfortunate,3509,Random,Random,Random,No,
effect,3503,Random,Random,Random,No,
fill,3453,Random,Random,Random,No,
whole,3451,Random,Random,Random,No,
rip,3451,Random,Random,Random,No,
leash,3443,Random,Random,Random,No,
guess,3395,Random,Random,Random,No,
durable,3392,Random,Random,Random,No,
figure,3389,Random,Random,Random,No,
goe,3384,Random,Random,Random,No,
left,3383,Random,Random,Random,No,
heavy,3381,Random,Random,Random,No,
area,3374,Random,Random,Random,No,
tast,3373,Random,Random,Random,No,
coat,3325,Random,Random,Random,No,
peopl,3318,Random,Random,Random,No,
please,3313,Random,Random,Random,No,
idea,3311,Random,Random,Random,No,
tube,3309,Random,Random,Random,No,
extra,3304,Random,Random,Random,No,
attach,3299,Random,Random,Random,No,
amount,3297,Random,Random,Random,No,
sit,3296,Random,Random,Random,No,
clear,3289,Random,Random,Random,No,
cost,3287,Random,Random,Random,No,
pick,3279,Random,Random,Random,No,
cans,3279,Random,Random,Random,No,
nature,3267,Random,Random,Random,No,
regular,3262,Random,Random,Random,No,
everything,3260,Random,Random,Random,No,
touch,3237,Random,Random,Random,No,
already,3233,Random,Random,Random,No,
inch,3213,Random,Random,Random,No,
odor,3205,Random,Random,Random,No,
pump,3189,Random,Random,Random,No,
healthy,3153,Random,Random,Random,No,
plant,3152,Random,Random,Random,No,
control,3113,Random,Random,Random,No,
adjust,3105,Random,Random,Random,No,
add,3090,Random,Random,Random,No,
air,3084,Random,Random,Random,No,
favorite,3083,Random,Random,Random,No,
full,3071,Random,Random,Random,No,
night,3069,Random,Random,Random,No,
difficult,3060,Random,Random,Random,No,
short,3043,Random,Random,Random,No,
picture,3037,Random,Random,Random,No,
absolute,3033,Random,Random,Random,No,
sturdy,3026,Random,Random,Random,No,
happen,3022,Random,Random,Random,No,
super,2997,Random,Random,Random,No,
wash,2994,Random,Random,Random,No,
others,2991,Random,Random,Random,No,
such,2989,Random,Random,Random,No,
ago,2979,Random,Random,Random,No,
case,2974,Random,Random,Random,No,
local,2969,Random,Random,Random,No,
paw,2958,Random,Random,Random,No,
immediate,2953,Random,Random,Random,No,
ad,2943,Random,Random,Random,No,
sometime,2942,Random,Random,Random,No,
prefer,2927,Random,Random,Random,No,
update,2923,Random,Random,Random,No,
weight,2922,Random,Random,Random,No,
suppose,2910,Random,Random,Random,No,
dos,2907,Random,Random,Random,No,
scoop,2905,Random,Random,Random,No,
front,2898,Random,Random,Random,No,
mine,2890,Random,Random,Random,No,
result,2874,Random,Random,Random,No,
bigger,2874,Random,Random,Random,No,
plus,2840,Random,Random,Random,No,
base,2827,Random,Random,Random,No,
final,2815,Random,Random,Random,No,
fast,2804,Random,Random,Random,No,
easier,2803,Random,Random,Random,No,
huge,2801,Random,Random,Random,No,
safe,2788,Random,Random,Random,No,
continue,2787,Random,Random,Random,No,
bark,2750,Random,Random,Random,No,
wet,2740,Random,Random,Random,No,
squeaker,2736,Random,Random,Random,No,
handle,2718,Random,Random,Random,No,
cheaper,2717,Random,Random,Random,No,
poop,2712,Random,Random,Random,No,
show,2711,Random,Random,Random,No,
tiny,2708,Random,Random,Random,No,
tell,2705,Random,Random,Random,No,
later,2702,Random,Random,Random,No,
past,2697,Random,Random,Random,No,
poor,2691,Random,Random,Random,No,
between,2687,Random,Random,Random,No,
total,2686,Random,Random,Random,No,
ok,2662,Random,Random,Random,No,
mouth,2651,Random,Random,Random,No,
pay,2650,Random,Random,Random,No,
extreme,2634,Random,Random,Random,No,
although,2633,Random,Random,Random,No,
highly,2628,Random,Random,Random,No,
clump,2624,Random,Random,Random,No,
neck,2623,Random,Random,Random,No,
pack,2619,Random,Random,Random,No,
kept,2612,Random,Random,Random,No,
point,2611,Random,Random,Random,No,
instruct,2606,Random,Random,Random,No,
sound,2598,Random,Random,Random,No,
wrong,2596,Random,Random,Random,No,
rate,2584,Random,Random,Random,No,
leak,2583,Random,Random,Random,No,
level,2571,Random,Random,Random,No,
skin,2566,Random,Random,Random,No,
blue,2563,Random,Random,Random,No,
deal,2558,Random,Random,Random,No,
origin,2553,Random,Random,Random,No,
system,2552,Random,Random,Random,No,
unit,2551,Random,Random,Random,No,
mess,2550,Random,Random,Random,No,
include,2550,Random,Random,Random,No,
pellet,2548,Random,Random,Random,No,
fur,2541,Random,Random,Random,No,
especial,2538,Random,Random,Random,No,
due,2531,Random,Random,Random,No,
diet,2526,Random,Random,Random,No,
drop,2524,Random,Random,Random,No,
low,2523,Random,Random,Random,No,
check,2518,Random,Random,Random,No,
rubber,2507,Random,Random,Random,No,
noise,2495,Random,Random,Random,No,
mean,2495,Random,Random,Random,No,
battery,2490,Random,Random,Random,No,
fact,2487,Random,Random,Random,No,
thank,2482,Random,Random,Random,No,
four,2480,Random,Random,Random,No,
stuf,2476,Random,Random,Random,No,
thin,2476,Random,Random,Random,No,
fresh,2475,Random,Random,Random,No,
gone,2471,Random,Random,Random,No,
line,2445,Random,Random,Random,No,
clip,2437,Random,Random,Random,No,
stand,2431,Random,Random,Random,No,
stuck,2422,Random,Random,Random,No,
wear,2417,Random,Random,Random,No,
step,2409,Random,Random,Random,No,
call,2408,Random,Random,Random,No,
fun,2388,Random,Random,Random,No,
carry,2378,Random,Random,Random,No,
caused,2378,Random,Random,Random,No,
black,2371,Random,Random,Random,No,
done,2366,Random,Random,Random,No,
allow,2365,Random,Random,Random,No,
matter,2364,Random,Random,Random,No,
broken,2361,Random,Random,Random,No,
loose,2356,Random,Random,Random,No,
mat,2355,Random,Random,Random,No,
baby,2351,Random,Random,Random,No,
kit,2339,Random,Random,Random,No,
soon,2338,Random,Random,Random,No,
hook,2334,Random,Random,Random,No,
measure,2331,Random,Random,Random,No,
overall,2313,Random,Random,Random,No,
pee,2283,Random,Random,Random,No,
believe,2282,Random,Random,Random,No,
cute,2278,Random,Random,Random,No,
near,2275,Random,Random,Random,No,
real,2264,Random,Random,Random,No,
unless,2257,Random,Random,Random,No,
comfort,2249,Random,Random,Random,No,
urin,2245,Random,Random,Random,No,
spot,2243,Random,Random,Random,No,
roll,2240,Random,Random,Random,No,
crazy,2232,Random,Random,Random,No,
watch,2226,Random,Random,Random,No,
screw,2217,Random,Random,Random,No,
lid,2209,Random,Random,Random,No,
sick,2202,Random,Random,Random,No,
twice,2200,Random,Random,Random,No,
life,2193,Random,Random,Random,No,
wonder,2190,Random,Random,Random,No,
nail,2187,Random,Random,Random,No,
shape,2179,Random,Random,Random,No,
itself,2177,Random,Random,Random,No,
tear,2167,Random,Random,Random,No,
older,2163,Random,Random,Random,No,
excel,2159,Random,Random,Random,No,
ey,2156,Random,Random,Random,No,
breed,2150,Random,Random,Random,No,
leg,2147,Random,Random,Random,No,
nose,2137,Random,Random,Random,No,
class,2136,Random,Random,Random,No,
fountain,2135,Random,Random,Random,No,
power,2130,Random,Random,Random,No,
entir,2127,Random,Random,Random,No,
manufacture,2118,Random,Random,Random,No,
metal,2115,Random,Random,Random,No,
heat,2114,Random,Random,Random,No,
direct,2110,Random,Random,Random,No,
valu,2109,Random,Random,Random,No,
follow,2107,Random,Random,Random,No,
post,2104,Random,Random,Random,No,
space,2101,Random,Random,Random,No,
jump,2098,Random,Random,Random,No,
mind,2088,Random,Random,Random,No,
during,2086,Random,Random,Random,No,
kill,2076,Random,Random,Random,No,
feet,2076,Random,Random,Random,No,
carpet,2065,Random,Random,Random,No,
suggest,2062,Random,Random,Random,No,
seen,2059,Random,Random,Random,No,
given,2057,Random,Random,Random,No,
etc,2053,Random,Random,Random,No,
